CLAVE,DESCRIPCIÓN
CASC-002,CASCO DE SEGURIDAD 3M C/SUSP. MATRACA H701R NJ D
CASC-003,CASCO DE SEGURIDAD 3M C/SUSP. MATRACA H701R RJ D
CASQM001,CASQUILLO #22 ( 8-1.25 X 12-1.50 X 20)
CENT-001,CENTRO DE CARGA 2P./50A. QOD2S SOBREPONER SQUARE D
CEPI-001,CEPILLO CIRCULAR ALAMBRE ONDULADO 150 X 0.356mm (986)
CEPI-002,CEPILLO DE ALAMBRE ACERO AL CARBON
CEPI-004,"CEPILLO TIPO COPA ALAMBRE TRENZADO DIAM. 3"" BARRENO MULTIROSCA ACERO AL CARBON (965)"
CEPI-005,"CEPILLO TIPO COPA ALAMBRE TRENZADO DIAM. 3"" DE ACERO INOXIDABLE (967)"
CEPI-006,"CEPILLO TIPO COPA ALAMBRE TRENZADO DIAM. 4 3/4"" DE ACERO AL CARBON (2888)"
CEPI-007,"CEPILLO TIPO COPA ALAMBRE TRENZADO DIAM. 5"" (963)"
CEPI-008,"CEPILLO TIPO COPA ALAMBRE TRENZADO DIAM. 4"" (968)"
CEPI-009,CEPILLO P/INOX MANGO DE MADERA
CERA-001,"CERAMICA 10N47 #7
SKU-790"
CERR-001,CERRADURA PHILLIPS DERECHA MOD. 715
CEST-001,CESTO DE BASURA
CHAL-001,CHALECO MBR GABARDINA MD NARANJA
CHAL-002,CHALECO MBR GABARDINA CH NARANJA
CHAL-003,CHALECO MBR GABARDINA GD NARANJA
CHAL-004,CHALECO MBR GABARDINA GD ROJO
CHAM-001,CHAMARRA MUJER T/30
CHAM-002,CAMARRA MUJER T/32
CHAM-003,CAMARRA MUJER T/34
CHAM-004,CHAMARRA HOMBRE T/M
CHAM-005,CHAMARRA HOMBRE T/G
CHAM-006,CHAMARRA HOMBRE T/XG
CHAM-007,CHAMARRA HOMBRE CHICA
CHUM-001,CHUMACERA DE COCOL FL208 UC 208
CHUM-002,CHUMACERA DE PARED FK F208 UC 208
CHUM-003,CHUMACERA DE PISO ETK P206 UC 206-18
CHUM-004,"CHUMACERA DE PISO FAG 1 1/2"" UCP 208-24-J7"
